3,NaN,1,2,1,2,1,3,1,88.6,168.8,64.1,48.8,2548,1,4,130,6,3.47,2.68,9,5000,21,27,13495,111
3,NaN,1,2,1,2,1,3,1,88.6,168.8,64.1,48.8,2548,1,4,130,6,3.47,2.68,9,5000,21,27,16500,111
1,NaN,1,2,1,2,3,3,1,94.5,171.2,65.5,52.4,2823,6,6,152,6,2.68,3.47,9,5000,19,26,16500,154
2,164,2,2,1,4,4,2,1,99.8,176.6,66.2,54.3,2337,4,4,109,6,3.19,3.4,10,5500,24,30,13950,102
2,164,2,2,1,4,4,1,1,99.4,176.6,66.4,54.3,2824,4,5,136,6,3.19,3.4,8,5500,18,22,17450,115
2,NaN,2,2,1,2,4,2,1,99.8,177.3,66.3,53.1,2507,4,5,136,6,3.19,3.4,8.5,5500,19,25,15250,110
1,158,2,2,1,4,4,2,1,105.8,192.7,71.4,55.7,2844,4,5,136,6,3.19,3.4,8.5,5500,19,25,17710,110
1,NaN,2,2,1,4,5,2,1,105.8,192.7,71.4,55.7,2954,4,5,136,6,3.19,3.4,8.5,5500,19,25,18920,110
1,158,2,2,2,4,4,2,1,105.8,192.7,71.4,55.9,3086,4,5,131,6,3.13,3.4,8.3,5500,17,20,23875,140
0,NaN,2,2,2,2,3,1,1,99.5,178.2,67.9,52,3053,4,5,131,6,3.13,3.4,7,5500,16,22,NaN,160
2,192,3,2,1,2,4,3,1,101.2,176.8,64.8,54.3,2395,4,4,108,6,3.5,2.8,8.8,5800,23,29,16430,101
0,192,3,2,1,4,4,3,1,101.2,176.8,64.8,54.3,2395,4,4,108,6,3.5,2.8,8.8,5800,23,29,16925,101
0,188,3,2,1,2,4,3,1,101.2,176.8,64.8,54.3,2710,4,6,164,6,3.31,3.19,9,4250,21,28,20970,121
0,188,3,2,1,4,4,3,1,101.2,176.8,64.8,54.3,2765,4,6,164,6,3.31,3.19,9,4250,21,28,21105,121
1,NaN,3,2,1,4,4,3,1,103.5,189,66.9,55.7,3055,4,6,164,6,3.31,3.19,9,4250,20,25,24565,121
0,NaN,3,2,1,4,4,3,1,103.5,189,66.9,55.7,3230,4,6,209,6,3.62,3.39,8,5400,16,22,30760,182
0,NaN,3,2,1,2,4,3,1,103.5,193.8,67.9,53.7,3380,4,6,209,6,3.62,3.39,8,5400,16,22,41315,182
